ID,Current Name (Latin),Proposed Name (Cyrillic),Will Move to Alias,English Translation,Has English?
21844,"EK-21 Vek","ЕК-21 Век","EK-21 Vek","EK-21st Century",Yes
23600,"EK-Aliaska","ЕК-Аляска","EK-Aliaska","EK-Alaska",Yes
21846,"EK-Aromat Vesny","ЕК-Аромат Весны","EK-Aromat Vesny","EK-Scent of Spring",Yes
21845,"EK-Atlantida","ЕК-Атлантида","EK-Atlantida","EK-Atlantis",Yes
21847,"EK-Belaia Koroleva","ЕК-Белая Королева","EK-Belaia Koroleva","EK-White Queen",Yes
21848,"EK-Belaia Liliia","ЕК-Белая Лилийа","EK-Belaia Liliia","EK-White Lily",Yes
21849,"EK-Belyi Tanets","ЕК-Белый Танец","EK-Belyi Tanets","EK-White Dance",Yes
21850,"EK-Belyi Val's","ЕК-Белый Вальс","EK-Belyi Val's","EK-White Waltz",Yes
24118,"EK-Berendeevo Tsarstvo","ЕК-Берендеево Царство","EK-Berendeevo Tsarstvo","",No
20025,"EK-Boginia Krasoty","ЕК-Богиня Красоты","EK-Boginia Krasoty","EK-Goddess of Beauty",Yes
21851,"EK-Boginia Utrennei Zari","ЕК-Богиня Утренней Зари","EK-Boginia Utrennei Zari","EK-Goddess of Dawn",Yes
21852,"EK-Boi Bykov","ЕК-Бой Быков","EK-Boi Bykov","EK-Bullfight",Yes
23601,"EK-Brazilskii Topaz","ЕК-Бразилский Топаз","EK-Brazilskii Topaz","EK-Brazilian Topaz",Yes
20026,"EK-Chernaia Zhemchuzhina","ЕК-Черная Жемчужина","EK-Chernaia Zhemchuzhina","EK-Black Pearl",Yes
23602,"EK-Chernyi Ogon'","ЕК-Черный Огонь","EK-Chernyi Ogon'","EK-Black Fire",Yes
21853,"EK-Dama Serdtsa","ЕК-Дама Сердца","EK-Dama Serdtsa","EK-Beloved Lady",Yes
21854,"EK-Den' Roz","ЕК-День Роз","EK-Den' Roz","EK-Day of Roses",Yes
20027,"EK-Dikaia Orkhideia","ЕК-Дикая Орхидейа","EK-Dikaia Orkhideia","EK-Wild Orchid",Yes
21855,"EK-Dikii Shipovnik","ЕК-Дикий Шиповник","EK-Dikii Shipovnik","EK-Wild Rose",Yes
21856,"EK-Dolche Vita","ЕК-Долче Вита","EK-Dolche Vita","",No
21857,"EK-Dzhokonda","ЕК-Джоконда","EK-Dzhokonda","EK-Mona Lisa La Gioconda",Yes
21858,"EK-Ekzotika","ЕК-Екзотика","EK-Ekzotika","EK-Exotic",Yes
21859,"EK-Farforovaia Svad'ba","ЕК-Фарфоровая Свадьба","EK-Farforovaia Svad'ba","EK-Porcelain Wedding",Yes
21860,"EK-Golub' Mira","ЕК-Голубь Мира","EK-Golub' Mira","EK-Dove of Peace",Yes
21861,"EK-Golubaia Krov'","ЕК-Голубая Кровь","EK-Golubaia Krov'","EK-Blue Blood",Yes
20028,"EK-Goluboglazaia Rossiia","ЕК-Голубоглазая Российа","EK-Goluboglazaia Rossiia","EK-Blue-eyed Russia",Yes
20029,"EK-Indiiskaia Skazka","ЕК-Индийская Сказка","EK-Indiiskaia Skazka","EK-Tale of India",Yes
20030,"EK-Iunona","ЕК-Юнона","EK-Iunona","EK-Juno",Yes
23603,"EK-Izumrednoe Kruzhevo","ЕК-Изумредное Кружево","EK-Izumrednoe Kruzhevo","EK-Emerald Lace",Yes
20031,"EK-Khrustalnyi Fontan","ЕК-Хрусталный Фонтан","EK-Khrustalnyi Fontan","EK-Crystal Fountain",Yes
21862,"EK-Klubnichnyi Potselui","ЕК-Клубничный Поцелуи","EK-Klubnichnyi Potselui","EK-Strawberry Kiss",Yes
21863,"EK-Korallovaia Rybka","ЕК-Коралловая Рыбка","EK-Korallovaia Rybka","EK-Coral Fish",Yes
20032,"EK-Korolevskii Rubin","ЕК-Королевский Рубин","EK-Korolevskii Rubin","EK-Royal Ruby",Yes
20033,"EK-Laskovyi Mai","ЕК-Ласковый Маи","EK-Laskovyi Mai","EK-Sweet May",Yes
20034,"EK-Lesnaia Ezhevika","ЕК-Лесная Ежевика","EK-Lesnaia Ezhevika","EK-Forest Blackberry",Yes
21864,"EK-Lesnaia Feia","ЕК-Лесная Фейа","EK-Lesnaia Feia","",No
21865,"EK-Liubov' i Golubi","ЕК-Любовь и Голуби","EK-Liubov' i Golubi","EK-Love and Doves",Yes
20035,"EK-Lubasha","ЕК-Лубаша","EK-Lubasha","",No
21866,"EK-Magiia Liubvi","ЕК-Магийа Любви","EK-Magiia Liubvi","EK-Magic of Love",Yes
23604,"EK-Malakhitovaia Orkhidaeia","ЕК-Малахитовая Орхидаейа","EK-Malakhitovaia Orkhidaeia","EK-Malachite Orchid",Yes
24119,"EK-Marmeladnye Romashki","ЕК-Мармеладные Ромашки","EK-Marmeladnye Romashki","",No
21867,"EK-Materinskaia Liubov'","ЕК-Материнская Любовь","EK-Materinskaia Liubov'","EK-Mother's Love",Yes
20036,"EK-Modnitsa","ЕК-Модница","EK-Modnitsa","EK-Fashionable Lady",Yes
21868,"EK-Morskaia Zvezda","ЕК-Морская Звезда","EK-Morskaia Zvezda","EK-Starfish",Yes
23605,"EK-Morskoi Volk","ЕК-Морской Волк","EK-Morskoi Volk","EK-Sea Wolf",Yes
21869,"EK-Muzyka Dozhdia","ЕК-Музыка Дождя","EK-Muzyka Dozhdia","EK-Music of Rain",Yes
23606,"EK-Nautilus","ЕК-Наутилус","EK-Nautilus","",No
21870,"EK-Nebesnaia Lazur'","ЕК-Небесная Лазурь","EK-Nebesnaia Lazur'","EK-Sky Azure",Yes
20037,"EK-Nezhnost","ЕК-Нежност","EK-Nezhnost","EK-Tenderness",Yes
21871,"EK-Osennii Potselui","ЕК-Осенний Поцелуи","EK-Osennii Potselui","EK-Autumn Kiss",Yes
21872,"EK-Podarok na Rozhdestvo","ЕК-Подарок на Рождество","EK-Podarok na Rozhdestvo","EK-Christmas Gift",Yes
23607,"EK-Portret Neznakomki","ЕК-Портрет Незнакомки","EK-Portret Neznakomki","EK-Portrait of a Stranger",Yes
21873,"EK-Printsessa Greza","ЕК-Принцесса Греза","EK-Printsessa Greza","EK-Princess Dream",Yes
21874,"EK-Raduga Liubvi","ЕК-Радуга Любви","EK-Raduga Liubvi","EK-Rainbow of Love",Yes
21875,"EK-Rizhskaia Siren'","ЕК-Рижская Сирень","EK-Rizhskaia Siren'","EK-Riga Lilac",Yes
24120,"EK-Rok-n-Roll","ЕК-Рок-н-Ролл","EK-Rok-n-Roll","",No
21876,"EK-Rozhdenie Lubvi","ЕК-Рождение Лубви","EK-Rozhdenie Lubvi","EK-Birth of Love",Yes
24121,"EK-Rozovyi Dalmatinets","ЕК-Розовый Далматинец","EK-Rozovyi Dalmatinets","",No
21877,"EK-Rozovyi Flamingo","ЕК-Розовый Фламинго","EK-Rozovyi Flamingo","EK-Pink Flamingo",Yes
23608,"EK-Rubinovaia Luna","ЕК-Рубиновая Луна","EK-Rubinovaia Luna","EK-Ruby Moon",Yes
20038,"EK-Russkaia Zima","ЕК-Русская Зима","EK-Russkaia Zima","EK-Russian Winter",Yes
24122,"EK-Ryzhii Kot","ЕК-Рыжий Кот","EK-Ryzhii Kot","",No
21878,"EK-Sady Semiramidy","ЕК-Сады Семирамиды","EK-Sady Semiramidy","EK-Gardens of Babylon",Yes
20039,"EK-Schastlivyi Talisman","ЕК-Счастливый Талисман","EK-Schastlivyi Talisman","EK-Lucky Charm",Yes
21879,"EK-Sedoi Okean","ЕК-Седой Океан","EK-Sedoi Okean","EK-Grey Ocean",Yes
20040,"EK-Shakhinia","ЕК-Шахиня","EK-Shakhinia","EK-Persian Empress",Yes
21880,"EK-Shaman","ЕК-Шаман","EK-Shaman","",No
20041,"EK-Shedevr Khudozhnika","ЕК-Шедевр Художника","EK-Shedevr Khudozhnika","EK-Painter's Masterpiece",Yes
21881,"EK-Skarabei","ЕК-Скарабей","EK-Skarabei","EK-Scarab",Yes
21882,"EK-Snegopad","ЕК-Снегопад","EK-Snegopad","EK-Snowfall",Yes
20042,"EK-Snezhnyi Bars","ЕК-Снежный Барс","EK-Snezhnyi Bars","EK-Snow Leopard",Yes
