recNumFC,name,hybridizer,bloomType,regNum,regDate,blossom,foliage,altReg,vintage,engTrans,alias,lineage
1,A La La,F. Tinari,1,5689,1984-02-18,Single raspberry frilled.,Dark green~ glossy/red back.,,1984,,,
2,A.L. Blake,H. Griffiths,1,,,Semidouble-double silvery-pink large.,Dark green~ quilted~ glossy/red back.,CA 002~ 1978,,,,
3,Abbey Road,L. Hale,1,6488,1987-02-21,Double blue-purple/white ruffled edge.,Variegated medium green~ pink and white~ quilted.,,1987,,,
4,Abe Lincoln,H. Rhoades,1,1745,10/25/1967-0-0,Double dark blue.,Plain~ pointed.,,5,,,
5,Abie^s Irish Rose,J. Stokes,2,8206,1995-06-14,Double white/blue eye.,Medium green~ plain~ quilted.,Western,1995,,,
6,Abigail Adams,I. Fredette,1,3226,1977-09-29,Semidouble light blue two-tone star.,Plain.,,1977,,,
7,Abigail^s Eyes,S. Spann,1,,,Double blue-purple large star.,Variegated.,,,,,
8,Abilene,Volkmann,1,5950,1985-02-19,Single medium pink frilled.,Dark green~ plain.,TX Hyb,1985,,,
9,Ablaze,D. Baker,1,,,Coral-red star/white edge.,Dark green/red back.,,,,,
10,Ablaze,F. Burton,2,,,Chimera red/wide white stripe.,,,,,,
11,About Face,E. Kiesling,1,3070,1976-12-10,Double dark orchid/white ruffled edge.,Plain~ quilted.,,1976,,,
12,Abracadabra,Baker,1,3288,1978-01-18,Semidouble lavender star/purple fantasy.,Ruffled~ girl foliage.,,1978,,,
13,Abraham,C. Reed,4,5835,1984-09-28,Double purple/white edge.,Medium green~ plain.,,1984,,,
14,Absinthe House,B. Sisk,4,4844,1982-06-04,Single lavender ruffled/purple tips.,Variegated.,DAVS 467,1982,,,
15,Aca^s Betty Davis,J. Brownlie,3,,,Single burgundy star.,Dark green~ pointed.,CA,,,,
16,Aca^s Beverley,J. Brownlie,1,5046,1982-08-12,Semidouble burgundy and pink/white edge.,Plain~ quilted.,CA 285~ 1983,1982,,,
17,Aca^s Blue Bijou,J. Brownlie,1,,,Semidouble blue.,Variegated green and white.,CA,,,,
18,Aca^s Blue Lou,J. Brownlie,1,,,Semidouble blue/white edge.,Variegated green and white.,CA,,,,
19,Aca^s Blues Singer,J. Brownlie,4,,,Semidouble blue two-tone star.,Variegated medium green~ pink and white.,CA,,,,
20,Aca^s Bluey,J. Brownlie,2,,,Double dark blue.,Variegated green and white.,CA,,,,
21,Aca^s Buttercup Red,J. Brownlie,1,5041,1982-08-12,Single red.,Plain~ quilted.,CA 286~ 1983,1982,,,
22,Aca^s Canadian Wonder,J. Brownlie,5,8222,1995-07-20,Semidouble pink two-tone sticktite pansy/white ruffled edge.,Variegated green and white~ plain~ quilted.,CA,1995,,,
23,Aca^s Catherine,J. Brownlie,2,5035,1982-08-12,Double pink two-tone.,Plain.,CA,1982,,,
24,Aca^s Coral Beauty,J. Brownlie,1,8621,1997-06-16,Semidouble coral sticktite star.,Dark green~ plain.,CA,1997,,,
25,Aca^s Coral Lagoon,J. Brownlie,4,8794,1999-04-08,Semidouble coral ruffled star.,Dark green~ heart-shaped~ pebbled~ scalloped/red back.,CA,1999,,,
26,Aca^s Daphne,J. Brownlie,2,8223,1995-07-20,Semidouble blue sticktite pansy/green frilled edge.,Variegated green and white~ plain~ pointed~ quilted.,CA,1995,,,
27,Aca^s Eloise,J. Brownlie,2,9117,2002-04-20,Single-semidouble red and white pansy.,Light green~ plain~ quilted.,CA,2002,,,
28,Aca^s Esther,J. Brownlie,5,8224,1995-07-20,Semidouble pink two-tone star.,Variegated green and white~ plain.,CA,1995,,,
29,Aca^s Eye Knees,J. Brownlie,1,5042,1982-08-12,Double pink/green-white edge.,Plain~ quilted.,CA 294~ 1983,1982,,,
