photoID,attribution
9999b,Christel Collier
9995b,AVSA
9990b,Marie Dattalo
9989b,Jim Boyer
9986c,Marjorie Bullard
9986b,Christel Collier
9983b,Barbara Elkin
9982b,M Reavis Violet Reflections
9980c,Tammy Turner
9980b,Northern CA Council
997b,AVS Denver Chapter I
9978b,Joe Bruns
9977c,Anatoly Skryabin
9977b,David Blatt
9976c,Joan Messer
9976b,Violet Gallery
9975b,Janet Stromborg
9972b,Janet Stromborg
996b,AVSA
9969b,Janet Stromborg
9968b,Northern CA Council
9967c,AVSA
9967b,Deb Nitz
9965b,Bluebird Greenhouse
9964c,Chris Daroche
9964b,Maria Storozhuk
9962c,Karen Panek
9962b,Paul Sorano
9960b,EH Peck III
9958b,Paul Sorano
9957b,Northern CA Council
9956c,Janet Stromborg
9956b,David Dick
9952c,Helen Williams
9952b,Stephanie Darrow
994b,AVSA
9949c,Anneli Hvass
9949b,Rachel^s Reflections
9943c,Northern CA Council
9943b,Northern CA Council
9940c,EvaBritta Thorssell
9940b,Winston J Goretsky
9939c,Karen Low
9939b,Janet Stromborg
9938c,Pat J Bushong Whitehead
9938b,Linda Rowe
9936c,Belinda Thibodeaux
9936b,Drew^s Violets
9935b,Belinda Thibodeaux
9934c,Tatiana Omelchenko
9934b,Cheryl Stevens
9933c,Claudia Brelo
9933b,Robin J. Rayburn
9931b,Tatiana Omelchenko
9930b,Claudia Brelo
992c,Tea Gallela
992b,Donna Slaga
9927b,Vicki Ferguson
9926b,Debbie Yeager
9925c,Tatiana Omelchenko
9925b,EvaBritta Thorssell
9923b,Tatiana Omelchenko
9921b,Christel Collier
9920c,Sady Garcia
9920b,Anneli Hvass
991b,AVS of Queensland
9918b,Diane Best
9916c,Debbie Yeager
9916b,Shantel Garcia
9915b,Fay Wagman
9913c,Anatoly Skryabin
9913b,Cindy Schott
9911c,EvaBritta Thorssell
9911b,Robin J. Rayburn
9910c,Heather Fox Slusher
9910b,Vicki Carr
990c,Linda Rowe
990b,Dolly Yeh
9908b,Angelika Dibley
9907c,Anatoly Skryabin
9907b,Anatoly Skryabin
9900b,Linda Rowe
989c,Kay Darrow
989b,Donna Turner
9891c,Debbie Yeager
9891b,Denise Showalter
9880b,Marie Flotterud
986b,Iris Keating
9863c,Aloysius Seow
9863b,Marie Flotterud
9854b,Thelma Ferris
9852c,Linda Rowe
9852b,Bloomlovers
9851c,EvaBritta Thorssell
9851b,Janet Stromborg
9848c,Kerstin Nordfors
9848b,Kerstin Nordfors
9847b,Jim Boyer
9845c,Kerstin Nordfors
9845b,Gennady Komkov
9822b,Eric Ensley
9821c,Mona Aman
9821b,Mona Aman
9820b,TL Wong
980b,Clark Parma
9803b,Gennady Komkov
9802b,Agnetha Widell
9800b,Jeanne Ayer
9799b,Rachel^s Reflections
9789b,Joan Thompson
9788b,Jeannine Kouns
9779c,Linda Rowe
9779b,Anatoly Skryabin
9778c,Olga Surnova
9778b,Pat Addison
9774b,AVSA
9769b,Tatiana Omelchenko
9765b,Hortense Pittman
9763c,Violet Foo Wan Yee
9763b,David Dick
9760b,Helen Doster
9745c,Joan Baker
9745b,Maria Storozhuk
9738b,AVSA
972b,Northern CA Council
9729b,AVSA
9726b,Fay Wagman
9721c,Janet Stromborg
9721b,Janet Stromborg
9714b,Ronn Nadeau
9700b,Joan Baker
9684c,Paul Sorano
9684b,Janet Stromborg
9683c,David Dick
9683b,Fay Hartwick
9668b,Lyndon Lyon
9667b,Hattie Baggett
9653b,Nancy Robitaille
9650b,Champion
9649b,AVSA
9648b,Violet Showcase
9647c,Tammy Turner
9647b,Byron Borck
9642b,Michiya Akuzawa
963b,AVSA
9639c,Hattie Baggett
9639b,Violet Foo Wan Yee
9638b,Doreeen Ulrich
9631b,Hattie Baggett
9629b,Shantel Garcia
9627c,Linda Rowe
9627b,Tea Gallela
9616c,Tea Gallela
9616b,Janet Stromborg
960b,Jana in Indiana
9605b,Barbara Elkin
9602b,Frank Burton
959b,June Fallaw
9593b,Joyce Myers
9583b,Brock Brown
9582c,Marjorie Bullard
9582b,Belinda Thibodeaux
9581b,Christopher
957c,Anatoly Skryabin
957b,Belinda Thibodeaux
9576b,Iris Keating
9571b,AVSA
9567b,Doreen Ulrich
9564c,David Dick
9564b,Pat Addison
9563b,Northern CA Council
9562b,Claudia Brelo
955b,AVSA
9559c,Donna Turner
9559b,Jana in Indiana
9546b,Winston J Goretsky
9544b,Winston J Goretsky
9543b,Claire Zimmerman
9541b,Irene Fredette
9538b,Hortense Pittman
9532b,Iris Keating
9529c,Joan Baker
9529b,David Dick
9528c,Marjorie Bullard
9528b,Marian Moss
9522b,Fredette
9521c,Cynthia Hui
9521b,Anatoly Skryabin
9519c,June Fallaw
9519b,AVSA
9516b,Bob Hassenauer
9514b,Barbara Elkin
9510b,Christel Collier
9498b,Schroeder
9493b,Hiroko Endo
948c,Christel Collier
948b,Cheryl Stevens
9487c,Pat Addison
9487b,Joan Baker
9486b,Fred C Hill
9483c,Violet Foo Wan Yee
9483b,Stanley Ko
947c,Alice Lubbers
947b,Linda Rowe
9479c,David Dick
9479b,Marjorie Bullard
9475c,EvaBritta Thorssell
9475b,Pat Addison
9473c,Marjorie Bullard
9473b,Cheralyn Maturi
9467c,Terry Studer
9467b,David Dick
9464c,Jeremy Clark
9464b,Pat Addison
9463b,AVSA
944c,Joan Baker
944b,Daisha East
9449b,Karin Dean
9441c,Gary/Rhona Thurman
9441b,Winston J Goretsky
9433b,Irene Fredette
9421b,AVSA
941b,Gary/Rhona Thurman
9418b,Barbara Elkin
9414c,Madeleine Gagnon
9414b,Joe Abendschan
9407c,Linda Bridges
9407b,Joan Baker
9402b,AVSA
939b,Hattie Baggett
9397b,Iris Keating
9392c,Julie Gordon
9392b,David Dick
9389b,Stanley Ko
